abstract_id,abstract
ABS-011,"Objectives : Exposure to appearance-focused social media often leads to body image disturbance among young women. One promising intervention to lessen this negative impact is mindfulness meditation. This study aimed to determine whether a brief mindfulness meditation intervention could mitigate the adverse effects of exposure to appearance-focused social media content on body image and mood in young Chinese women. Methods : In an online randomized controlled trial, 168 women aged 18-35 years were randomly assigned to either an intervention group ( n = 86) that listened to a ten-minute mindfulness meditation audio or to a control group ( n = 82) that listened to a ten-minute recorded natural history text. After listening to the audio, participants viewed idealized body images on Xiaohongshu and compared themselves to these images. Outcome measures included state body dissatisfaction and negative mood. Data were collected at baseline (T0), post-intervention (T1), and post-exposure to images (T2). Results : At T0, groups did not differ in age, BMI, education, body dissatisfaction, or negative mood (all p > 0.05). From T0 to T1, both groups showed significant improvements in body dissatisfaction and mood. The intervention group's scores decreased significantly ( p = 0.008; p p p = 0.178 and p = 0.310, respectively) from T1 to T2, whereas the control group's scores worsened significantly on both outcome measures ( p Conclusions : These findings suggest that even a brief mindfulness meditation intervention may buffer against the negative effects of idealized social media content on body image and mood."
ABS-012,"Background Sleep deprivation is a growing concern among students, particularly in demanding fields such as health sciences, where it can impair cognitive function and academic performance. This study aimed to investigate the prevalence of sleep deprivation and its impact on health sciences students at Umm Al-Qura University. Methods A cross-sectional study was conducted during the 2024-2025 academic year, involving 211 undergraduate health sciences students. Data were collected through an online questionnaire assessing sociodemographic characteristics, sleep patterns, academic performance, stress levels, and electronic device use. Statistical analyses included independent t-tests, chi-square tests, and regression analyses to evaluate associations between sleep quality and academic outcomes. Results Among the participants, 102 (48.3%) reported difficulty sleeping. Poor sleep quality was significantly associated with shorter sleep duration, longer sleep latency, and irregular sleep schedules. Students with sleep difficulties were more likely to use digital devices before bedtime (72 (70.6%) vs. 56 (51.4%); p = 0.007) and to feel less refreshed upon waking (p = 0.001). Poor sleep quality scores were also significantly associated with poorer academic performance (p = 0.018), higher stress levels (p = 0.022), and difficulty completing academic tasks on time (p = 0.0039). Notably, 82 participants (38.86%) lacked awareness of recommended sleep duration. Conclusion This study highlights the high prevalence of sleep deprivation among health sciences students. Although sleep difficulties were commonly reported, the findings showed mixed associations with academic performance. Interventions focusing on reducing screen time, managing stress, and improving sleep education are recommended to enhance sleep quality. Addressing sleep deprivation is essential for improving student well-being and supporting academic success."
ABS-013,"Background and objectives Although previous studies suggest that social media may influence individuals of different ages, comprehensive and objective research focusing on older adults remains limited. This study aimed to investigate the associations between social media use on the well-being of older adults using objective assessment methods. Methods A cross-sectional study was conducted with 153 adults aged 50 years and older. Objective social media use was assessed through smartphone screen-time records covering at least the previous 2 weeks, while participants also reported their estimated daily usage durations. Psychological and nutritional well-being were evaluated using validated scales: the De Jong Gierveld Loneliness Scale, PHQ-9 for depression, GAD-7 for anxiety, and MNA-SF for nutritional status. Data were analyzed using nonparametric tests, correlation analyses, and multivariable logistic regression. Results The mean age of participants was 64.2 years (SD = 9.7), and 43.1% were female. The majority of participants (78.4%) had normal nutritional status, but loneliness (53.6%), depression (62.7%), and anxiety (66.2%) were relatively high. The median daily social media use was 90 min (IQR = 27-178). Older participants spent significantly less time on social media ( p p p p > 0.05). Conclusions While higher income was associated with greater use, social media engagement was not linked to adverse psychological or nutritional outcomes. These findings suggest that social media use was not significantly associated with adverse psychological or nutritional well-being among adults aged 50 years and older."
ABS-014,"Early childhood education may have the potential to narrow the income achievement gap. However, studies have shown substantial intervention fadeout, calling for rigorous assessment of the long-term effects of early childhood programs. In a randomized controlled study, Courtier et al. (2021) found that an adapted Montessori curriculum led to larger reading gains in kindergarten than conventional public education in France. Participants from that intervention were recovered five years later while in conventional classrooms and once again tested on academic, cognitive, and social skills (N = 97; M age =10-11). Children who benefited from the adapted Montessori curriculum no longer showed better reading skills than their peers (d=-0.07). However, they outperformed their peers on math problem-solving (d = 0.58), an effect not present in kindergarten."
ABS-015,"University years represent a period of major transition during which health-related behaviors, such as sleep and physical activity, may influence students' academic functioning. This cross-sectional, single-center study, conducted at an Italian university, examined the associations between sleep, physical activity, and academic well-being. Students completed an online survey assessing sleep, physical activity, and several indicators of academic functioning (i.e., academic stress, self-efficacy, dropout intention, and motivation). Nonparametric tests (Kruskal-Wallis, Jonckheere-Terpstra) were used to explore differences in these indicators across sleep quality and physical activity categories, while linear regressions tested associations between sleep duration and Metabolic Equivalent of Task-minutes/week with the same academic outcomes. A total of 2192 students (15.55%) accessed the survey, and 1246 (8.84%) completed all questionnaires. Most participants were female (62.7%) and Italian (94.5%). Both sleep and physical activity showed significant but small associations with academic stress, dropout intention, and self-efficacy, whereas associations with academic motivation were weaker. These findings suggest that maintaining regular physical activity and healthy sleep habits may contribute to students' academic adjustment, although the cross-sectional design limits causal interpretation and underscores the need for integrative models to better understand the underlying psychological mechanisms."
ABS-016,"Background/Objectives : Excessive smartphone use has emerged as an important behavioral health concern during adolescence, a developmental period characterized by heightened psychosocial vulnerability. This study aimed to identify psychosocial and behavioral factors associated with excessive smartphone use among Korean adolescents using nationally representative data. Methods : Data were obtained from the 2024 Korean Youth Risk Behavior Web-based Survey (KYRBS), including 54,653 adolescents. Excessive smartphone use was operationally defined as average daily smartphone use of ≥300 min. Multivariable logistic regression was conducted to examine associated factors. An exploratory machine learning analysis using a Light Gradient Boosting Machine included 52,450 participants with complete predictor data. Results : Female sex, higher grade level, lower perceived socioeconomic status, higher perceived daily stress, higher anxiety symptoms, poorer sleep-related recovery, suicidal ideation, and more frequent vigorous physical activity were associated with higher odds of excessive smartphone use. The supplementary modeling approach showed patterns consistent with the regression findings, with grade level, socioeconomic status, and sex contributing prominently. Vigorous physical activity demonstrated a nonlinear association with predicted risk. Conclusions : Excessive smartphone use among adolescents appears to be shaped by developmental stage, socioeconomic context, and psychological vulnerability. These findings support prevention strategies that address emotional well-being and sleep health alongside broader structural and school-based approaches."
ABS-017,"Background/Objectives : Poor diet quality is common among young Saudi adults, characterised by high fast-food intake and low fruit and vegetable consumption. This study investigated the association between diet quality and lifestyle factors using a validated short Healthy Eating Index (sHEI). Methods : This study adopted a cross-sectional design, gathering responses through a self-completed online questionnaire. Demographic data were collected. Diet quality was assessed using the Arabic version of the sHEI, physical activity was evaluated with the Arabic short form of the International Physical Activity Questionnaire (IPAQ), and sleep quality was measured using the Athens Insomnia Scale (AIS). Saudi residents aged 18-25 years were eligible; pregnant or lactating individuals and those with chronic conditions affecting dietary intake were excluded. Results : Among 478 participants (mean age 21.1 ± 1.9 years), 88.1% were female, 24.7% were overweight or obese, and half reported poor diet quality. Moderation scores were slightly higher (54.2% high), whereas adequacy scores were nearly equal (49.8% high and 50.2% low). Most participants reported low physical-activity levels (78.5%) and poor sleep quality (55.2%). Sleep quality was significantly associated with all diet quality measures, increasing the odds of good total sHEI (OR = 1.74, p = 0.003), adequacy (OR = 1.49, p = 0.034), and moderation (OR = 1.54, p = 0.021). Conclusions : Sleep quality is significantly associated with diet quality among young Saudi adults. While body mass index and physical activity showed no significant associations, improving sleep quality may promote healthier dietary behaviours. Future studies should explore pathways linking sleep and diet."
ABS-018,"Yoga Nidra meditation has been increasingly examined in recent years for its potential to enhance psychological well-being. However, few studies have examined its biological effects-such as diurnal cortisol patterns particularly in larger samples using pre-post designs. The primary objective of this randomised controlled trial was to examine both the psychological (stress, anxiety, depression, rumination, sleep, satisfaction with life) and the biological effects (diurnal salivary cortisol) of Yoga Nidra. Participants were randomly assigned to 1 of 2 intervention groups (EG1: 11 min Yoga Nidra, n = 101; EG2: 30 min Yoga Nidra, n = 80), an active control group (AC: 10 min music, n = 74), or a waitlist control group (WC, n = 107). The intervention was delivered online via pre-recorded audio files and practiced ideally daily over 2 months. Significant improvements were observed for the 11-min Yoga Nidra group compared to the WC (effect sizes d = 0.08-0.16). Regular practice was associated with reductions in total cortisol and steeper diurnal slopes. Additionally, the short form significantly reduced depression compared to the AC (d = 0.13). The long form of Yoga Nidra showed an increase in acting with awareness (d = 0.10) compared to the short form. It also exceeded the effects of EG1 when compared to the AC and WC, including a flatter cortisol wake-up reaction. The importance of small effects through economic interventions for health-promoting behaviour is highlighted."
ABS-019,"Objectives Life satisfaction is an essential indicator of quality of life, and enhancing it can contribute to individual well-being strategies. Because it is a complex concept, a comprehensive approach is needed to address it effectively. Machine learning offers a unique statistical opportunity to address this challenge effectively. In this study, we examined how lifestyle parameters, psychological issues, and psychological processes predict life satisfaction. Methods The study included 1366 participants, representing the general population. Lifestyle factors were self-reported, and included exercise frequency, alcohol consumption, smoking, body mass index, and regularity of social rhythms. The participants also completed several assessment scales, such as the Life Satisfaction Scale, the Hospital Anxiety and Depression Scale, the Acceptance and Action Questionnaire-II, the Tuckman Procrastination Scale, the Big Three Perfectionism Scale-Short Form, and the Brief Social Rhythm Scale. Machine-learning methods were used to evaluate the statistical parameters, with root mean square error values of 3.9, 3.6, and 3.7 for gradient boosting, extreme gradient boosting, and light gradient-boosting machine, respectively. Results The top five factors influencing life satisfaction were identified as depression scores, psychological inflexibility, marital status, social rhythm, and procrastination. Psychological inflexibility influences the impact of depression on life satisfaction. Factors that are difficult or impossible to change, such as age, gender, education, and chronic disease, ranked lower on the list. By contrast, psychological and environmental factors that can be improved had strong predictive power. Conclusions These findings offer opportunities for enhancing life satisfaction and underscore the responsibility to address these factors."
ABS-020,"Objectives This study explores how negative life events relate to problematic smartphone use among university students and examines whether self-efficacy acts as a mediator and physical activity as a moderator in this relationship. Methods A cross-sectional survey was conducted among undergraduates at eight universities in Nanchang, China, from November 2024 to March 2025. Validated instruments were used to assess negative life events (ASLEC), self-efficacy (GSES), physical activity (PARS), and problematic smartphone use (SAS-SV). The sample included 2,680 participants (47.6% male, 52.4% female; mean age = 19.60 years). Statistical analyses included Pearson correlation analysis and PROCESS models for mediation and moderation. Results Negative life events were positively correlated with problematic smartphone use and negatively correlated with self-efficacy and physical activity. Self-efficacy partially mediated the relationship between negative life events and problematic smartphone use [indirect effect β = 0.05, 95% CI (0.04, 0.07)], with a significant direct effect. Physical activity attenuated the positive correlation between negative life events and problematic smartphone use (interaction β = -0.01, p Conclusions Negative life events, self-efficacy, physical activity, and problematic smartphone use are interrelated among university students. Enhancing self-efficacy and promoting physical activity may help mitigate problematic smartphone use. However, the cross-sectional design and reliance on self-reports limit causal inference."
ABS-021,"Background Adolescence is a sensitive period for psychological, academic, and social development, and sports participation has been described as a potential protective factor for academic performance and psychological well-being. However, limited research has examined the combined influence of sports involvement, sport type, and family background on adolescents' academic and psychological outcomes. This study aimed to investigate the associations between organized sport participation, sport type (football vs. judo), psychological well-being, psychosomatic symptoms, academic performance, and family socioeconomic background among adolescent boys. Methods The sample consisted of 52 boys aged 11-14 years from a rural school, divided into football players ( n = 13), judo athletes ( n = 13), non-athletes ( n = 13), and a contextual subgroup of students with special educational needs (SEN; n = 13), with the latter included for exploratory purposes only. Data included school-record-based academic performance and validated self-report measures of life satisfaction, depressive symptoms, psychosomatic complaints, perceived physical fitness, and socioeconomic background. Results Athletes demonstrated significantly higher academic achievement than non-athletes in overall grade point average ( p p p p = 0.03), and Hungarian ( p p p p p = 0.01), and fathers' occupational position ( p = 0.02) were significantly higher among athletes' families. Perceived physical fitness was also rated higher by athletes ( p Conclusions Sport participation was associated with more favorable academic and psychological indicators, yet also with elevated depressive symptoms, highlighting the dual nature of organized sport during adolescence. Future research should apply longitudinal designs, include female participants, and incorporate objective indicators of training load."
ABS-022,"Emotional labor refers to the process by which employees regulate and manage their emotions as part of their job requirements. This observational study examined distinct psychological profiles and differential responsiveness to a brief 35-minute mind-body training (MBT) among 753 emotional labor workers with high versus low emotional labor intensity. Participants were categorized into high-risk and low-risk groups based on their emotional labor intensity. Psychological measures included positive and negative affect (Positive and Negative Affect Schedule), depressed mood (Center for Epidemiologic Studies Depression Scale), and quality of life (World Health Organization Quality of Life-Brief Version). Resting heart rate was obtained from a limited sample (n = 29) for exploratory analysis. At baseline, among emotional labor subscales, emotional disharmony and hurt was associated with increased depressed mood and decreased quality of life in both groups (p < .001), while lack of a supportive and protective system in the organization positively correlated with depressed mood in the high-risk group only (p = .040). After the MBT, the high-risk group showed greater decrease in negative affect compared to the low-risk group (p < .001). Exploratory analysis showed heart rate decreased significantly regardless of group (p = .039), with greater reductions in employees reporting higher baseline emotional demand and regulation (r = .464, p = .01). Our results suggest that high-risk workers, particularly those lacking organizational support, may exhibit greater psychological vulnerabilities but also greater responsiveness to workplace intervention, providing preliminary evidence for considering emotional labor intensity when designing workplace interventions."
ABS-023,"Objective Increased screen exposure among adolescents leads to short- or long-term health problems. This study aimed to examine the mediating role of screen exposure in the relationship between sleep quality and healthy lifestyle among adolescents. Methods This cross-sectional and correlational study was conducted between February and May 2025 in a province in the Black Sea region of Turkey with 700 adolescents attending two high schools affiliated with the Provincial Directorate of National Education. Data were collected using the Descriptive Characteristics Form, the Richard-Campbell Sleep Questionnaire, the Adolescent Healthy Lifestyle Belief Scale, and the Screen Exposure of Adolescents (ESEA) Scale. Descriptive, Pearson correlation, regression, and mediation analyses were performed on the data. Results Participants' screen exposure levels and healthy lifestyle beliefs were found to be moderate, while their sleep quality was good. Bootstrapping results revealed that screen exposure in adolescents led to a decrease in sleep quality (β = -0.091; p Conclusion It has been concluded that increased screen exposure affects sleep quality and beliefs about healthy lifestyles in adolescents. To improve sleep quality and healthy lifestyle beliefs among adolescents, it is necessary to reduce their screen exposure levels. Planning and implementing nursing interventions for this purpose is extremely important in terms of protecting and improving adolescent health."
ABS-024,"Introduction This cross-sectional study investigates the interplay of lifestyle, behavioral, and psychosocial factors in predicting depressive symptoms among Chinese college students (N=508) using binary logistic regression. Methods Participants were recruited from four geographically diverse provinces (Eastern: Shandong; Western: Shaanxi, Sichuan; Southern: Hainan) across 8 universities (5 comprehensive universities, 3 specialized institutions), with balanced urban (n=245, 48.22%) and rural (n=263, 51.78%) representation. Standardized scales assessed depressive symptoms (PHQ-9), perceived stress (PSS), academic procrastination (PASS), physical activity (PARS-3), cyberbullying victimization (CVQ), and alcohol use (AUDIT). Results Results revealed significant negative associations of sleep duration and physical activity with depressive symptoms (p Discussion Despite limitations of convenience sampling and cross-sectional design, findings suggest a complex interplay of multidimensional factors in college students' mental health. Early screening and comprehensive interventions targeting lifestyle, behavioral, and psychosocial domains are recommended. Further longitudinal and experimental studies are warranted to elucidate causal pathways and inform targeted prevention strategies in university settings."
ABS-025,"Background/Objectives: Musculoskeletal pain represents a frequent and increasingly recognized health issue during adolescence. During this developmental phase, daily habits such as prolonged sitting, sedentary behaviors and the adoption of non-neutral postures may contribute to spinal overload and pain symptoms. This study contributes to the existing literature by focusing on concrete postural behaviors in real-life daily situations, an aspect that is still underexplored despite its relevance for musculoskeletal health. The aim of this study was to investigate the associations between daily habits, postural behaviors and the presence of back and neck pain. Methods : A cross-sectional study was conducted on a sample of 70 adolescents aged 10-20 years. Data were collected using the Back Pain and Body Posture Evaluation Instrument for Children and Adolescents (BackPEI-CA), administered online. Descriptive statistics and chi-square tests with effect sizes (Cramer's V) were used to examine associations between postural behaviors, lifestyle factors, and pain outcomes, providing an inferential assessment beyond simple descriptive analysis. Results : Significant associations were found between gender and back pain, sitting posture during daily activities (writing at the desk and talking with friends) and back pain, with flexed or asymmetrical postures more frequently reported among participants with pain, and between back and neck pain ( p Conclusions: The findings highlight the relevance of gender and daily postural behaviors as factors associated with musculoskeletal pain in adolescents. By identifying posture-specific behaviors linked to pain, this study provides preliminary evidence that can inform targeted preventive strategies and guide future research on modifiable daily habits in youth."
ABS-026,"Catechins in green tea have been reported to enhance glucose tolerance and lipid metabolism. However, the influence of chronic intake timing on these outcomes in older adults has not been fully elucidated. In this randomized controlled trial, we investigated the effects of green tea intake at different timings on glucose and lipid metabolism in older adults. Forty-five participants aged ≥ 65 years were randomly assigned to morning ( n = 15), day ( n = 15), or evening ( n = 15) group. Participants consumed green tea daily for 8 weeks at specified times (0600-1100, 1100-1600, and 1600-2100 h for the morning, day, and evening groups, respectively). Glucose metabolism, lipid metabolism, and body composition were evaluated before and after the intervention. Blood glucose level, glycated hemoglobin level, body weight, and fat mass decreased with green tea intervention, while muscle mass increased across all groups (all p Trial Registration: University Hospital Medical Information Network (UMIN): UMIN000058708."
ABS-027,"University students are frequently exposed to academic and psychosocial stressors that may affect their psychological well-being. This study examined the relationships between perceived stress, emotional intelligence, and life satisfaction among university students. A cross-sectional design was conducted with 231 students from Spain and Italy enrolled in Physical Activity and Sport Sciences programs. Participants completed the Satisfaction with Life Scale (SWLS), the Perceived Stress Scale (PSS-14), and the Trait Meta-Mood Scale (TMMS). Results indicated that perceived stress was negatively associated with life satisfaction, whereas emotional intelligence dimensions were positively related to life satisfaction. However, emotional intelligence did not moderate the relationship between stress and life satisfaction. In addition, Spanish students reported lower stress and higher life satisfaction than Italian students. These findings suggest that emotional intelligence contributes to student well-being primarily through direct associations with life satisfaction rather than by buffering the effects of stress."
ABS-028,"The purpose of this cross-sectional study was to determine the prevalence and factors associated with depression and anxiety among job-seeking graduates in Bangladesh, as mental health issues are often overlooked or stigmatized. The 689 participants were selected by means of convenience sampling method. A self-reported questionnaire was used to gather data with sociodemographic data, lifestyle characteristics, 7-item generalized anxiety disorder scale (GAD-7), and Patient Health Questionnaire-9 (PHQ-9). It was established that 48.5% of the study population experienced depression and anxiety at 39.3%. Approximately 86% of individuals who reported the presence of depression and 87.8% of individuals who reported anxiety had finished studying back in the previous 2 years. Multivariable logistic regression models demonstrated that education level was found to be significantly linked with depression (adjusted odds ratio [aOR] = 1.35; 95% confidence interval [CI] = 0.908-2.022; p p p < 0.05). The study features the psychological vulnerability of job seekers in Bangladesh, emphasizing the social need to recognize unemployment-related mental health challenges and reduce stigma around seeking support. Findings call for integrating mental health support into employment services and career programs. The study also lays groundwork for further research on mental health interventions targeting unemployed youth. Lastly, the current article releases a scarce perspective of the rates and causes of depression and anxiety in Bangladesh in the light of a new timeframe."
